word|definition|sentence
daunting|intimidating, causing one to lose courage|He kept delaying the _____ act of asking for a promotion.
debacle|a disastrous failure, disruption|The elaborately designed fireworks show turned into a _____ when the fireworks started firing in random directions.
debase|to lower the quality or esteem of something|The large raise that he gave himself would _____ his motives for running the charity.
debunk|to expose the falseness of something|He was able to _____ her claim to be the world's greatest chess player by defeating her in 18 consecutive matches.
deface|to ruin or injure something's appearance|The brothers used eggs and shaving cream to _____ their neighbor's mailbox.
defer|to postpone something;|Ron decided to _____ to Diane, the expert on musical instruments, when he was asked about buying a piano.
deleterious|harmful to living things|A food product is also considered “adulterated” if it bears or contains any poisonous or _____ substance, which may render it injurious to health.
delineate|to describe, outline, shed light on|She neatly decided to _____ her reasons for canceling the project's funding.
demean|to lower the status or stature of something|She refused to _____ her secretary by making him order her lunch.
deride|to laugh at mockingly, scorn|The bullies would _____ the foreign student's accent.
despondent|feeling depressed, discouraged, hopeless|Having failed the first math test, the _____ child saw no use in studying for the next and failed that one too.
destitute|impoverished, utterly lacking|The hurricane destroyed many homes and left many families _____.
deter|to discourage, prevent from doing|Bob's description of scary snakes couldn't _____ Marcia from traveling in the rainforests.
devious|not straightforward, deceitful|Not wanting to be punished, the _____ girl blamed the broken vase on the cat.
dialect|a variation of a language|In the country's remote, mountainous regions, the inhabitants spoke a _____ that the country's other inhabitants had difficulty understanding.
diffuse|to scatter, thin out, break up|He was able to _____ the tension in the room by making in a joke.
diminutive|small or miniature|The bullies, tall and strong, picked on the _____ child.
discern|perceive, recognize, or detect|As his eyes adjust, he can _____ the shadow of a tree.
discretion|the quality of being reserved in speech or action;|Not wanting her patient to get overly anxious, the doctor used _____ in deciding how much to tell the patient about his condition.
disdain|to scorn, hold in low esteem|Insecure about their jobs, the older employees would _____ the recently hired ones, who were young and capable.
disgruntled|upset, not content|The child believed that his parents had unjustly grounded him, and remained _____ for a week.
disheartened|feeling a loss of spirit or morale|The team was _____ after losing in the finals of the tournament.
disparate|sharply differing, containing sharply contrasting elements|Having widely varying interests, the students had _____ responses toward the novel.
dispatch|to send off to accomplish a duty|The carpenter decided to _____ his assistant to fetch wood.
dissent|to disagree|The principal argued that the child should repeat the fourth grade, but the unhappy parents chose to _____.
dissuade|to persuade someone not to do something|Worried that he would catch a cold, she tried to _____ him from going out on winter nights.
divine|godly, exceedingly wonderful|Terribly fond of desserts, she found the rich chocolate cake to be _____.
divisive|causing dissent, discord|Her _____ tactics turned her two friends against each other.
divulge|to reveal something secret|Pressured by the press, the government finally was forced to _____ the previously unknown information.
docile|willing to be taught or led or supervised or directed|They were both so _____ and willing to help that Úrsula took them on to help her with her household chores.
duress|hardship, threat|It was only under intense _____ that he, who was normally against killing, fired his gun.
effervescent|marked by high spirits or excitement|She is _____ and finds joy in the smallest places.
elucidate|make clear and comprehensible|My job is to ask questions, to explain, to provide answers - to _____.
embellish|to decorate, adorn|My mom decided to _____ the living room by adding lace curtains.
eminent|conspicuous|There is an _____ stain on that shirt.
encore|the audience's demand for a repeat performance; also the artist's performance in response to that demand|At the end of the concert, all the fans yelled, "_____! _____!" but the band did not come out to play again.
encumber|to weigh down, burden|At the airport, heavy luggage would _____ my friend, so I offered to carry two of her bags.
engender|to bring about, create, generate|During the Olympics, the victories of U.S. athletes _____ a patriotic spirit among Americans.
erudite|having or showing profound knowledge|He also draws on an _____ knowledge of history, anthropology, animal behavior and cognitive science.
euphoric|elated, uplifted|I was _____ when I found out that my sister had given birth to twins.
evince|to show, reveal|Christopher's hand-wringing and nail-biting _____ how nervous he is about the upcoming English test.
exalt|to glorify, praise|Michael Jordan is the figure in basketball we _____ the most.
excursion|a trip or outing|After taking an _____ to the Bronx Zoo, I dreamed about pandas and monkeys.
extol|to praise, revere|Violet would _____ the virtues of a vegetarian diet to her meat-loving brother.
fabricate|to make up, invent|When I arrived an hour late to class, I had to _____ some excuse about my car breaking down on the way to school.
façade|the wall of a building|Meet me in front of the museum's main _____.
façade|a deceptive appearance or attitude|Despite my smiling _____, I am feeling melancholy.
fathom|to understand, comprehend|I cannot _____ why you like that crabby and mean-spirited neighbor of ours.
feral|wild, savage|That beast looks so _____ that I would fear being alone with it.
fervent|characterized by intense emotion|Such work, on television, tends to be admired by critics and by small, _____ audiences.
fickle|shifting in character, inconstant|In Greek dramas, the _____ gods help Achilles one day, and then harm him the next.
foil|to thwart, frustrate, defeat|Inspector Wilkens was able to _____ the thieves by locking them in the bank along with their stolen money.
fortuitous|lucky; occurring by happy chance|Isn't it _____,” Lady Isobel gloated one night at supper, “that the prince has returned just in time to meet my most beautiful daughter?
forum|a medium for lecture or discussion|Some radio talk-shows provide a good _____ for political debate.
fraught|(usually used with "with") filled or accompanied with|Her glances in his direction were _____ with meaning, though precisely what meaning remained unclear.
frenetic|frenzied, hectic, frantic|In the hours between night and morning, the _____ pace of city life slows to a lull.
frivolous|not serious in content, attitude, or behavior|With the economy in rough shape, Barack’s team was constantly guarding against any image coming out of the White House that might be seen as _____ or light, given the somberness of the times.
frugal|avoiding waste|He’s extremely _____, the kind of guy who drives the same car for twenty years.
genial|diffusing warmth and friendliness|The comical little painted man looked so _____, so ready to welcome anyone, that Johnny stepped in.
gregarious|drawn to the company of others, sociable|Well, if you're not _____, I don't know why you would want to go to a singles party!
grievous|injurious, hurtful; serious or grave in nature|Electrocuting the inmate without being sure of his guilt would be a truly _____ mistake.
hardy|robust, capable of surviving through adverse conditions|I too would have expected the plants to be dead by mid-November, but apparently they're very _____.
hegemony|the dominance or leadership of one social group over others|You see, American dominance represented a new form of superpower _____.
heinous|shockingly wicked, repugnant|The killings were made all the more _____ by the fact that the murderer first tortured his victims for three days.
immerse|to absorb, deeply involve, engross|After breaking up with her boyfriend, Nancy decided to _____ herself in her work in order to avoid crying.
impeccable|exemplary, flawless|If your grades were as _____ as your sister's, then you too would receive a car for a graduation present.
imperative|a rule, command, or order|Her _____ to have the folders organized by midday was perceived as ridiculous by the others.
imperious|having or showing arrogant superiority|Marian remembered her grandmother Isabella as an imposing woman, tall and _____, who ruled her family with an iron hand.
impertinent|rude, insolent|Most of your comments are so _____ that I don't wish to dignify them with an answer.
impervious|not admitting of passage or capable of being affected|She’s like a god—_____ to cold, famine, disease, natural and man-made disasters.
implement|an instrument, utensil, tool|Do you have a knife or some other sort of _____ that I could use to pry the lid off of this jar?
implicate|to involve in an incriminating way, incriminate|Even though Tom wasn't present at the time of the shooting, the evidence was able to _____ him by suggesting that he had supplied the shooters with guns.
inclination|a tendency, propensity|Sarah has an _____ to see every foreign film she hears about, even when she's sure that she won't like it.
incumbent|obligatory|It is _____ upon this organization to offer aid to all who seek it.
incumbent|one who holds an office|The _____ senator is already serving his fifth term.
indignation|anger sparked by something unjust or unfair|I resigned from the sorority because of my _____ at its hazing of new members.
induce|to bring about, stimulate|Who knew that our decision to boycott school lunch would _____ a huge riot?
inept|generally incompetent and ineffectual|Most were _____ at it, but some had clearly been trained in combat.
inhibit|to prevent, restrain, stop|When I told you I needed the car last night, I certainly never meant to _____ you from going out.
iniquity|absence of moral or spiritual values|Preachers used the word _____ when talking about the strange and wicked.
innocuous|harmless, inoffensive|In spite of their _____ appearance, these mushrooms are actually quite poisonous.
innovate|to do something in an unprecedented way|Because of the stiff competition, the company knew it needed to pour a lot of energy to _____ new and better products.
insinuate|suggest in an indirect or covert way; give to understand|But I did not for one minute suggest or _____, in any way, shape or form, that he should be abandoned in this country.
insipid|lacking interest or significance or impact|Let's face it, a life without fear--and without the courage to overcome fear--would be pretty bland and _____.
instigate|to urge, goad|The demagogue was able to _____ the crowd into a fury by telling them that they had been cheated by the federal government.
integral|necessary for completeness|Without the _____ ingredient of flour, you wouldn't be able to make bread.
interminable|without possibility of end|The fact that biology lectures came just before lunch made them seem _____.
intrepid|brave in the face of danger|After scaling a live volcano prior to its eruption, the explorer was praised for his _____ attitude.
jubilant|extremely joyful, happy|The crowd was _____ when the firefighter carried the woman from the flaming building.
judicious|having or exercising sound judgment|When the _____ king decided to compromise rather than send his army to its certain death, he was applauded.
languid|lacking spirit or liveliness|When she woke from the trance, she was cold, and exhausted, and _____; but her mind was all alert.
larceny|obtaining another's property by theft or trickery|When my car was not where I had left it, I realized that I was a victim of _____.
lavish|to give without limits|Because the performers had worked hard, they deserved the praise that the critic would _____ on them.
liability|something for which one is legally responsible, usually involving a disadvantage or risk|The bungee-jumping tower was a great _____ for the owners of the carnival.
lucid|transparently clear; easily understandable|Even if every sentence in a text is crisp, _____, and well formed, a succession of them can feel choppy, disjointed, unfocused—in a word, incoherent.
magnanimous|noble and generous in spirit|My master is great and noble, and all powerful; he can therefore afford to be _____.
malevolent|wanting harm to befall others|The _____ old man sat in the park all day, tripping unsuspecting passersby with his cane.
mandate|an authoritative command|In the Old Testament, God’s _____ is that no one should steal.
manifest|easily understandable, obvious|When I wrote the wrong sum on the chalkboard, my mistake was so _____ that the entire class burst into laughter.
manifest|to show plainly|His illness first began to _____ itself with particularly violent hiccups.
maverick|an independent, nonconformist person|Andreas is a real _____ and always does things his own way.
maxim|a common saying expressing a principle of conduct|Every etiquette _____ from Miss Manners is both entertaining and instructional.
medley|a mixture of differing things|Susannah's wardrobe contained an astonishing _____ of colors, from olive green to fluorescent pink.
metamorphosis|the change of form, shape, substance|Winnifred went to the gym every day for a year and underwent a _____ from a waiflike girl to an athletic woman.
mitigate|lessen or to try to lessen the seriousness or extent of|Food aid from the United States, Japan, South Korea, and other donors was able to _____ the worst of the famine by the late 1990s.
mores|the moral attitudes and fixed customs of a group of people.|_____ change over time; many things that were tolerated in 1975 are no longer seen as being socially acceptable.
negligent|habitually careless, neglectful|Jessie's grandfather called me a _____ fool after I left the door to his apartment unlocked even though there had been a recent string of robberies.
nocturnal|relating to or occurring during the night|Jackie was a _____ person; she would study until dawn and sleep until the evening.
nomadic|wandering from place to place|In the first six months after college, Jose led a _____ life, living in New York, California, and Idaho.
nominal|trifling, insignificant|Because he was moving the following week and needed to get rid of his furniture more than he needed money, Jordan sold everything for a _____ fee.
nondescript|lacking a distinctive character|I was surprised when I saw the movie star in person because she looked _____.
noxious|harmful, unwholesome|Environmentalists showed that the _____ weeds were destroying the insects' natural habitats.
nuance|a slight variation in meaning, tone, expression|The subtle _____ of the poem was not obvious to the casual reader, but the professor was able to point it out.
obtuse|lacking quickness of sensibility or intellect|Political opponents warned that the prime minister's _____ approach to foreign policy would embroil the nation in mindless war.
odious|extremely repulsive or unpleasant|"We knew something was bubbling under. Something _____. Something rotten," Rosenberg wrote.
onerous|burdensome|My parents lamented that the pleasures of living in a beautiful country estate no longer outweighed the _____ mortgage payments.
opulent|rich and superior in quality|The _____ fur-trimmed silk and gold ornaments told of the woman’s wealth and nobility, but those were mere faded trappings compared with her loveliness.
orthodox|conventional, conforming to established protocol|The company's profits dwindled because the management pursued _____ business policies that were incompatible with new industrial trends.
ostensible|appearing as such, seemingly|Jack's _____ reason for driving was that airfare was too expensive, but in reality, he was afraid of flying.
ostentatious|intended to attract notice and impress others|Every garden needs a showoff — a plant so _____ that it demands to be stared at and discussed.
pacific|soothing|The chemistry professor's _____ demeanor helped the class remain calm after the experiment exploded.
palatable|agreeable to the taste or sensibilities|Despite the unpleasant smell, the exotic cheese was quite _____.
palette|a range of colors or qualities|The _____ of colors utilized in the painting was equaled only by the range of intense emotions the piece evoked.
pallid|lacking color|Dr. Van Helsing feared that Lucy's _____ complexion was due to an unexplained loss of blood.
paradigm|an example that is a perfect pattern or model|Because the new SUV was so popular, it became the _____ upon which all others were modeled.
partisan|a follower, adherent|The king did not believe that his rival could round up enough _____ followers to overthrow the monarchy.
pathos|an emotion of sympathy|Martha filled with _____ upon discovering the scrawny, shivering kitten at her door.
penchant|a tendency, partiality, preference|Jill’s dinner parties quickly became monotonous on account of her _____ for Mexican dishes.
penitent|feeling or expressing remorse for misdeeds|The original idea for the penitentiary was that criminals would become _____ and turn away from their lives of crime.
permeate|spread or diffuse through|There was an awed silence as the odor of freshly ground coffee began to _____ the theater.
pernicious|extremely destructive or harmful|The new government feared that the Communist sympathizers would have a _____ influence on the nation’s stability.
pert|flippant, bold|My parents forgave Sandra’s _____ humor at the dinner table because it had been so long since they had last seen her.
pinnacle|the highest point|Book reviewers declared that the author’s new novel was extraordinary and probably the _____ of Western literature.
pithy|concisely meaningful|My father’s long-winded explanation was a stark contrast to his usually _____ statements.
pittance|a very small amount, especially relating to money|Josh complained that he was paid a _____ for the great amount of work he did at the firm.
placate|to ease the anger of, soothe|The man purchased a lollipop to _____ his irritable son.
platitude|an uninspired remark, cliché|After reading over her paper, Helene concluded that what she thought were profound insights were actually just a standard _____.
plethora|an abundance, excess|The wedding banquet included a _____ of oysters piled almost three feet high.
pliable|flexible|Aircraft wings are designed to be somewhat _____ so they do not break in heavy turbulence.
prescribe|to lay down a rule|The duke decided to _____ that from this point further all of the peasants living on his lands would have to pay higher taxes.
presumptuous|disrespectfully bold|The princess grew angry after the _____ noble tried to kiss her, even though he was far below her in social status.
pretense|an appearance or action intended to deceive|Though he actually wanted to use his parents’ car to go on a date, Nick borrowed his parents’ car under the _____ of attending a group study session.
proclivity|a strong inclination toward something|In a sick twist of fate, Harold’s childhood _____ for torturing small animals grew into a desire to become a surgeon.
procure|get by special effort|The only materials they lacked were stone and metal, and these they were able to _____ in trade with people as far away as the Great Lakes.
profuse|plentiful, abundant|The fans were _____ in their cheers for the star basketball player.
propagate|to multiply, spread out|Rumors of Paul McCartney’s demise began to _____ like wildfire throughout the world.
prowess|extraordinary ability|The musician had never taken a guitar lesson in his life, making his _____ with the instrument even more incredible.
punctilious|marked by precise accordance with details|A _____ perfectionist, Brady was able to hold his entire team captive to his habits.
punitive|involving punishment|If caught smoking in the boys’ room, the _____ result is immediate expulsion from school.
quaint|charmingly old-fashioned|Hilda was delighted by the _____ bonnets she saw in Amish country.
quandary|state of uncertainty in a choice between unfavorable options|The situation leaves local officials in a _____ this winter, as they face the conflicting demands of keeping the coal flowing while reducing air pollution.
rapport|a relationship of mutual understanding between people|I watched over time as the girls formed friendships, finding a _____ with one another and with the adults around them.
raucous|loud, boisterous|Sarah’s neighbors called the cops when her house party got too _____.
raze|to demolish, level|They decided to _____ the old tenement house to make room for the large chain store.
rebuke|to scold, criticize|When the cops showed up at Sarah’s party, they chose to _____ her for disturbing the peace.
reciprocate|to give in return|When Steve gave Samantha a sweater for Christmas, she decided to _____ by giving him a kiss.
reclusive|solitary, shunning society|_____ authors such as J.D. Salinger do not relish media attention and sometimes even enjoy holing up in remote cabins in the woods.
refract|to distort, change|The prism was able to bend and _____ the light as it passed through.
refurbish|to restore, clean up|The dingy old chair, after we decided to _____ it, commanded the handsome price of $200.
remedial|intended to repair gaps in students’ basic knowledge|After his teacher discovered he couldn’t read, Alex was forced to enroll in _____ English.
remiss|negligent, failing to take care|The burglar gained entrance because the security guard, _____ in his duties, forgot to lock the door.
renovate|restore, return to original state; to enlarge and make prettier, especially a house|We decided to _____ the candelabra so it would look new, and we will also _____ the house to make it twice as big.
repose|to rest, lie down|The cat, after eating an entire can of tuna fish, decided to _____ in the sun and took a long nap.
reprehensible|bringing or deserving severe rebuke or censure|"His comments were _____ and no one should be subjected to such hateful language," it said Wednesday in a statement obtained by Sports Illustrated.
reproach|express criticism towards|“Don’t cry like that,” my grandmother said to _____ her.
repudiate|reject as untrue, unfounded, or unjust|“We reject and _____ this act,” he wrote on Twitter.
repulse|to disgust; to push back|Antisocial Annie tried to _____ people by neglecting to brush her teeth. With a deft movement of her wrist and a punch to the stomach, Lacy repulsed Jack’s attempt to kiss her.
reputable|of good reputation|After the most _____ critic in the industry gave the novel a glowing review, sales took off.
rescind|cancel officially|An advancement might take years to win, and then we might _____ it in a day.
reservoir|reserves, large supply; a body of water used for storing water|Igor the Indomitable had quite a _____ of strength and could lift ten tons, even after running 700 miles, jumping over three mountains, and swimming across an ocean. After graduation, the more rebellious members of the senior class jumped into the town _____ used for drinking water.
resolute|firm, determined|With a _____ glint in her eye, Catherine announced that she was set on going to college in New York City even though she was a little frightened of tall buildings.
retract|withdraw|As the media worked itself into a frenzy, the publicist hurriedly decided to _____ his client’s statement.
revel|to enjoy intensely|Theodore decided to _____ in his new status as Big Man on Campus.
revere|to esteem, show deference, venerate|The doctor saved countless lives with his expertise and kindness, prompting the town to _____ him as a hero.
revoke|to take back|After missing the curfew set by the court for eight nights in a row, the judge decided to _____ Marcel’s freedom of movement.
rife|abundant|Surprisingly, the famous novelist’s writing was _____ with spelling errors.
ruminate|to contemplate, reflect|Terry liked to _____ while sitting on the banks of the river, staring pensively into the water.
ruse|a trick|Oliver concocted an elaborate _____ for sneaking out of the house to meet his girlfriend while simultaneously giving his mother the impression that he was asleep in bed.
salient|significant, conspicuous|One of the _____ differences between Alison and Nancy is that Alison is a foot taller.
sedentary|sitting, settled|The _____ cat did little but loll in the sun.
sensual|involving sensory gratification, usually related to sex|With a coy smile, the guest on the blind-date show announced that he considered himself a very _____ person.
sensuous|involving sensory gratification|Paul found drinking Coke, with all the little bubbles bursting on his tongue, a very _____ experience.
servile|subservient|The _____ porter crept around the hotel lobby, bowing and quaking before the guests.
sobriety|sedate, calm|Jason believed that maintaining his _____ in times of crisis was the key to success in life.
solvent|a substance that can dissolve other substances; able to pay debts|Water is sometimes called the universal _____ because almost all other substances can dissolve into it. Upon receiving an unexpected check from her aunt, Annabelle found herself suddenly _____.
sovereign|having absolute authority in a certain realm|The _____ queen, with steely resolve, ordered that the traitorous nobleman be killed.
stagnate|to become or remain inactive, not develop, not flow|With no room for advancement, the waiter’s career began to _____.
staid|sedate, serious, self-restrained|The _____ butler never changed his expression no matter what happened.
stingy|not generous, not inclined to spend or give|Scrooge’s _____ habits did not fit with the generous, giving spirit of Christmas.
stoic|seeming unaffected by pleasure or pain; impassive|She was trying to be _____, a medical woman, but I could tell that she was upset because the soldier hadn’t allowed her to help the injured on the road.
stupefy|to astonish, make insensible|Veronica’s audacity and ungratefulness managed to _____ her best friend, Heather.
subjugate|to bring under control, subdue|The invading force captured and tried to _____ the natives of that place.
submissive|easily yielding to authority|In some cultures, wives are supposed to be _____ and support their husbands in all matters.
surmise|imagine to be the case or true or probable|That movie was probably shot in 1922, a fan was able to _____ based on a quick online search of old calendars.
surrogate|one acting in place of another|The _____ carried the child to term for its biological parents.
taciturn|habitually reserved and uncommunicative|Lubalin’s friends and colleagues remember him as an extremely quiet, _____ man.
tangential|incidental, peripheral, divergent|I tried to discuss my salary, but the boss kept veering off into _____ topics.
tantamount|equivalent in value or significance|When it comes to sports, fearing your opponent is _____ to losing.
temperance|moderation in action or thought|Maintaining _____ will ensure that you are able to think rationally and objectively.
tenable|able to be defended or maintained|The department heads tore down the arguments in other people’s theses, but Johari’s work proved to be quite _____.
terrestrial|relating to the land|Elephants are _____ animals.
timorous|timid, fearful|When dealing with the unknown, _____ Tallulah almost always broke into tears.
tirade|a long speech marked by harsh or biting language|Every time Jessica was late, her boyfriend went into a long _____ about punctuality.
tome|a large book|In college, I used to carry around an anatomy book that was the heaviest _____ in my bag.
torrid|giving off intense heat, passionate|I didn’t want to witness the neighbor’s _____ affair through the window.
tortuous|winding|The scary thing about driving in mountains are the narrow, _____ roads.
tractable|easily managed|"It's huge to show it's a _____, manageable problem."
transgress|to violate, go over a limit|The criminal’s actions were a choice to _____ morality and human decency.
travesty|a grossly inferior imitation|According to the school newspaper’s merciless theater critic, Pacific Coast High’s rendition of the musical Oklahoma was a _____ of the original.
trepidation|a feeling of alarm or dread|The young mouse approached the sparrow with _____, not wanting to antagonize the moody, dangerous bird.
umbrage|a feeling of anger caused by being offended|One, from a person identifying as a nearby resident, took _____ with the “obnoxious noises.”
utopia|an imaginary and remote place of perfection|Everyone in the world wants to live in a _____, but no one can agree how to go about building one.
vacuous|lack of content or ideas, stupid|Beyonce realized that the lyrics she had just penned were completely _____ and tried to add more substance.
validate|to confirm, support, corroborate|Yoko’s chemistry lab partner was asleep during the experiment and could not _____ the accuracy of her methods.
vehemently|marked by intense force or emotion|The candidate _____ opposed cutting back on Social Security funding.
veneer|a superficial or deceptively attractive appearance, façade|Thanks to her Chanel makeup, Shannen was able to maintain a _____ of perfection that hid the flaws underneath.
venerate|to regard with respect or to honor|The tribute to John Lennon sought to _____ his music, his words, and his legend.
veracity|truthfulness, accuracy|With several agencies regulating the reports, it was difficult for Latifah to argue against its _____.
verbose|wordy, impaired by wordiness|It took the _____ teacher two hours to explain the topic, while it should have taken only fifteen minutes.
vilify|spread negative information about|But there are fourteen years of life before him yet, in which people will malign, _____, slander, and publicly and privately insult him.
vindicate|clear of accusation, blame, or doubt with supporting proof|The Portuguese parliament did not officially _____ Sousa Mendes for his actions until 1988, when they dismissed all charges against him and restored him to the country's diplomatic corps by a unanimous vote.
vocation|the work in which someone is employed, profession|After growing tired of the superficial world of high-fashion, Edwina decided to devote herself to a new _____: social work.
vociferous|loud, boisterous|I’m tired of his _____ whining so I’m breaking up with him.
whimsical|indulging in or influenced by the imagination|The finished creations are, without exception, impressive and _____; it's a real testament to what's possible with a childlike sense of wonder and some heavy-duty glue sticks.
winsome|charming, pleasing|After such a long, frustrating day, I was grateful for Chris’s _____ attitude and childish naivete.
wrath|vengeful anger, punishment|Did you really want to incur her _____ when she is known for inflicting the worst punishments legally possible?
zealous|fervent, filled with eagerness in pursuit of something|If he were any more _____ about getting his promotion, he’d practically live at the office.
zenith|the highest point, culminating point|I was too nice to tell Nelly that she had reached the absolute _____ of her career with that one hit of hers.
accost|approach and speak to someone aggressively or insistently|They approach people on the streets, they _____ people at entrances to polling stations.
affable|diffusing warmth and friendliness|Gone was the _____ smile, the playful look in his eyes.
affront|an insult|Bernardo was very touchy, and took any slight as an _____ to his honor.
aggrieved|distressed, wronged, injured|The foreman mercilessly overworked his _____ employees.
allay|lessen the intensity of or calm|Eisenhower understood that to _____ the public’s concerns required concrete action.
ambivalent|uncertain or unable to decide about what course to follow|The time of action is upon us, but I remain _____ as to what action I should take.
ameliorate|make better|Massage therapy is commonly used during physical rehabilitation of skeletal muscle to _____ pain and promote recovery from injury.
amenity|an item that increases comfort|Bill Gates's house is stocked with every comfort _____ imaginable, so he never has to do anything for himself.
anachronistic|chronologically misplaced|Although wood-bodied planes continued to be used, they were outdated and in fact _____ by the close of the 19th century.
analogous|similar to, so that an analogy can be drawn|Though they are unrelated genetically, the bone structure of whales and fish is quite _____.
annex|a room attached to a larger room or space|He likes to do his studying in a little _____ attached to the main reading room in the library.
annex|to incorporate territory or space|After defeating them in battle, the Russians decided to _____ Poland.
annul|to make void or invalid|After seeing its unforeseen and catastrophic effects, Congress sought to _____ the law.
antecedent|something that came before|The great tradition of Western culture had its _____ in the culture of Ancient Greece.
antiquated|old, out of date|That _____ car has none of the features, like power windows and steering, that make modern cars so great.
approbation|official recognition or commendation|They are the skills that are met with bigger paychecks and public _____.
arcane|obscure, secret, known only by a few|The professor is an expert in _____ Lithuanian literature.
ardor|feelings of great warmth and intensity|The ceremonies leading up to the main event fueled the _____ of the hometown enthusiasts.
artisan|a craftsman|The _____ uses wood to make walking sticks.
ascribe|to assign, credit, attribute to|Some _____ the invention of fireworks and dynamite to the Chinese.
atone|to repent, make amends|The man had to _____ for forgetting his wife's birthday by buying her five dozen roses.
atrophy|to wither away, decay|If muscles do not receive enough blood, they will soon _____ and die.
atypical|not typical, unusual|Screaming and crying is _____ adult behavior.
auspicious|indicating favorable circumstances and good luck|To the Chinese, the dragon is an _____ symbol, representing strength, good fortune and the elemental forces of nature.
austere|severely simple|The room she so seldom left was _____; had the bed been made, a visitor might have thought it permanently unoccupied.
avarice|extreme greed for material wealth|For most people, a bonus that doubled their annual income would seem like riches beyond the dreams of _____.
balk|to stop, block abruptly|Edna's boss decided to _____ at her request for another raise.
bane|a burden|Advanced physics is the _____ of many students' academic lives.
beguile|to trick, deceive|The thief was able to _____ his partners into surrendering all of their money to him.
bequeath|leave or give, especially by will after one's death|Before he handed over his pocket-book to me, he chose to _____ me his boots.
berate|to scold vehemently|The angry boss decided to _____ his employees for failing to meet their deadline.
bereft|devoid of, without|His family was _____ of food and shelter following the tornado.
beseech|to beg, plead, implore|The servant had to _____ the king for food to feed his starving family.
blight|a plague, disease|The potato _____ destroyed the harvest and bankrupted many families.
blight|something that destroys hope|His bad morale is a _____ upon this entire operation.
bombastic|excessively confident, pompous|The singer's _____ performance disgusted the crowd.
boon|a gift or blessing|The good weather has been a _____ for many businesses located near the beach.
brazen|not held back by conventional ideas of behavior|How dare you, _____ fool! How dare you demand an audience of the emissary with nothing to show him!
buffet|strike against forcefully|Gusts of wind began to _____ him; rainwater poured down his face.
buffet|an arrangement of food set out on a table|Rather than sitting around a table, the guests took food from our _____ and ate standing up.
buttress|to support, hold up|The column is placed to _____ the roof above the statue.
cadence|the rhythmic rise and fall of the voice|Laila marveled at her daughter’s manner of speech, her _____ and rhythm, her thoughtful pauses and intonations, so adult, so at odds with the immature body that housed the voice.
calibrate|to set, standardize|The mechanic decided to _____ the car's transmission to make the motor run most efficiently.
camaraderie|brotherhood, jovial unity|_____ among employees usually leads to success in business.
canny|shrewd, careful|The _____ runner hung at the back of the pack through much of the race to watch the other runners, and then sprinted past them at the end.
caustic|bitter, biting, acidic|The politicians exchanged _____ insults for over an hour during the debate.
censure|harsh criticism or disapproval|Those who dared to speak about it faced threats and _____.
censure|to rebuke formally|The principal decided to _____ the head of the English Department for forcing students to learn esoteric vocabulary.
chide|to voice disapproval|Lucy decided to _____ Russell for his vulgar habits and sloppy appearance.
circumspect|careful to consider potential consequences and avoid risk|I am practical and _____; he is impulsive and direct.
clandestine|secret|Announcing to her boyfriend that she was going to the gym, Sophie actually went to meet Joseph for a _____ liaison.
clemency|mercy|After he forgot their anniversary, Martin could only beg Maria for _____.
clergy|members of Christian holy orders|Though the villagers viewed the church rectory as quaint and charming, the _____ who lived there regarded it as a mildewy and dusty place that aggravated their allergies.
cobbler|a person who makes or repairs shoes|I had my neighborhood _____ replace my worn-out leather soles with new ones.
collusion|secret agreement, conspiracy|The three law students worked in _____ to steal the final exam.
complacency|self-satisfied ignorance of danger|Colin tried to shock his friends out of their _____ by painting a frightening picture of what might happen to them.
complicit|being an accomplice in a wrongful act|By keeping her daughter's affair a secret, Maddie became _____ in it.
concoct|to fabricate, make up|She had to _____ the most ridiculous story to explain her absence.
concord|harmonious agreement|Julie and Harold began the evening with a disagreement, but ended it in a state of perfect _____.
condolence|an expression of sympathy in sorrow|Brian lamely offered his expressions of _____ on the loss of his sister's roommate's cat.
conduit|a pipe or channel through which something passes|The water flowed through the _____ into the container.
confection|a sweet, fancy food|We went to the mall food court and purchased a delicious _____.
confidant|a person entrusted with secrets|Shortly after we met, she became my chief _____.
conformist|one who behaves the same as others|Julian was such a _____ that he had to wait and see if his friends would do something before he would commit.
confound|to frustrate, confuse|MacGuyver was able to _____ the policemen pursuing him by covering his tracks.
congregation|a gathering of people, especially for religious services|The priest told the _____ that he would be retiring.
connive|to plot, scheme|She decided to _____ to get me to give up my vacation plans.
consecrate|to dedicate something to a holy purpose|Arvin decided to _____ his spare bedroom as a shrine to Christina.
consign|commit forever|The Chinese government canceled his passport, choosing to _____ him to exile.
constituent|an essential part|The most important _____ of her perfume is something called ambergris.
convoluted|intricate, complicated|Grace's story was so _____ that I couldn't follow it.
coronation|the act of crowning|The new king's _____ occurred the day after his father's death.
corrosive|having the tendency to erode or eat away|The effect of the chemical was highly _____.
cosmopolitan|sophisticated, worldly|Lloyd's education and upbringing were _____, so he felt right at home among the powerful and learned.
coup|a brilliant, unexpected act|Alexander pulled off an amazing _____ when he got a date with Cynthia by purposely getting hit by her car.
coup|the overthrow of a government and assumption of authority|In their _____ attempt, the army officers stormed the Parliament and took all the legislators hostage.
